time_stamp,state,trend,seasonality,total_rx,total_rx_lag1,consumer_crm,consumer_website,consumer_display_campaign1,consumer_display_campaign2,consumer_display_campaign3,consumer_display_campaign4,consumer_coupon1,consumer_coupon2,consumer_sem_campaign1,consumer_sem_campaign2,consumer_sem_campaign3,consumer_sem_campaign4,hcp_website1,hcp_crm_campaign1,hcp_crm_campaign2,hcp_crm_campaign3,hcp_crm_campaign4,hcp_website2,hcp_display_campaign1,hcp_display_campaign2,hcp_display_campaign3,hcp_emr_campaign1,hcp_emr_campaign2,hcp_emr_campaign3,hcp_coupon1,hcp_coupon2,hcp_coupon3,hcp_coupon4,hcp_sem_campaign1,hcp_sem_campaign2,hcp_sem_campaign3,hcp_sales_rep_detailing
20150201,ND,1,February,2103.939,2294.189,98,1065,0,0,0,0,36,281,4414,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,165,5,29,962,243,0,110
20150201,NE,1,February,6567.577,7194.654,256,3683,0,0,0,0,70,677,12347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,24,147,2705,646,0,251.5
20150201,NH,1,February,4904.919,5328.909,102,2053,0,0,0,0,4,255,9301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437,10,70,2190,550,0,204
20150201,NJ,1,February,20479.462,22515.312,799,12368,0,0,0,0,82,2300,57432,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1667,35,234,10633,3167,0,1084.5
20150201,NM,1,February,1739.828,1876.967,38,1613,0,0,0,0,8,45,7061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1356,624,0,5
20150201,NV,1,February,3399.666,3756.853,119,3437,0,0,0,0,1,241,14037,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,362,5,71,2553,908,0,238
20150201,NY,1,February,36145.201,39880.55,658,28173,0,0,0,0,101,1899,121458,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1835,41,283,24365,7383,0,1583
20150201,OH,1,February,37176.729,39912.346,1145,15878,0,0,0,0,274,3483,74044,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2848,54,434,16070,4246,0,1944.5
20150201,OK,1,February,15463.04,16420.283,575,4644,0,0,0,0,226,1557,24155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424,38,190,5601,1078,0,574.5
20150201,OR,1,February,5682.782,5911.011,208,4741,0,0,0,0,9,475,22826,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,632,10,173,4192,1645,0,374.5
20150201,PA,1,February,29220.494,31588.136,804,18087,0,0,0,0,107,2155,84809,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1735,38,290,17222,4737,0,1755.5
20150201,PR,1,February,1046.271,1234.573,49,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,3,28,0,0,0,179.5
20150201,RI,1,February,2981.917,3237.096,85,1514,0,0,0,0,0,207,7604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,2,75,1488,453,0,224.5
20150201,SC,1,February,23619.997,26308.04,919,6802,0,0,0,0,273,2526,31872,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3565,47,531,7717,1397,0,1232
20150201,SD,1,February,3125.085,3603.552,84,1050,0,0,0,0,28,291,4809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,6,60,1127,310,0,95.5
20150201,TN,1,February,30576.866,31933.975,1243,12161,0,0,0,0,246,3716,47698,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3507,67,515,11075,2035,0,1372.5
20150201,TX,1,February,112556.543,120457.578,5871,51929,0,0,0,0,1198,14222,194347,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15391,214,2485,43853,9090,0,4799
20150201,UT,1,February,8186.97,8982.332,517,4247,0,0,0,0,27,1686,16947,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1211,24,247,3451,1215,0,575.5
20150201,VA,1,February,26481.729,29182.978,1117,11200,0,0,0,0,55,2524,57373,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2651,38,392,12072,3089,0,1368
20150201,VI,1,February,2.001,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150201,VT,1,February,2788.027,2998.286,18,851,0,0,0,0,10,60,4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,1,1123,255,0,83
20150201,WA,1,February,12553.391,13619.461,332,9046,0,0,0,0,171,915,42659,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1006,11,216,7598,749,0,539.5
20150201,WI,1,February,25142.049,27556.336,611,8349,0,0,0,0,226,1803,36068,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1999,27,212,8689,1742,0,787.5
20150201,WV,1,February,7360.888,8162.661,146,1959,0,0,0,0,18,386,11523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,6,19,2800,651,0,314
20150201,WY,1,February,912.186,990.286,28,584,0,0,0,0,2,51,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,608,157,0,4
20150301,AK,2,March,940.551,914.758,30,444,0,0,0,0,0,58,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,9,619,190,0,60
20150301,AL,2,March,30165.302,29669.154,1135,6196,0,0,0,0,289,3545,22121,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4604,79,520,8559,1123,0,1459.5
20150301,AR,2,March,12773.777,12934.319,396,2634,0,0,0,0,169,1078,9741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,18,127,3798,593,0,794
20150301,AZ,2,March,11848.481,11454.261,460,6453,0,0,0,0,4,1188,19099,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1355,16,260,6779,2064,0,518
20150301,CA,2,March,40811.5,37514.647,1117,28987,0,0,0,0,75,2148,92320,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2756,46,787,31743,11300,0,2945.5
20150301,CO,2,March,10944.453,10718.829,461,5556,0,0,0,0,4,1087,15896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,10,147,5805,1781,0,635
20150301,CT,2,March,15090.44,14078.165,464,4797,0,0,0,0,7,971,15412,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,923,20,153,6000,1504,0,1028.5
20150301,DC,2,March,2077.289,1938.489,103,5953,0,0,0,0,6,184,9407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,4,14,3101,622,0,72.5
20150301,DE,2,March,6289.566,5502.85,170,1196,0,0,0,0,7,350,4655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,3,46,1632,317,0,392.5
20150301,FL,2,March,59772.088,59047.192,2855,24917,0,0,0,0,149,7025,77938,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6622,100,959,26860,5459,0,3413.5
20150301,GA,2,March,42164.853,41717.373,2660,19597,0,0,0,0,281,7794,46441,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5893,104,963,15715,2979,0,2119
20150301,HI,2,March,620.288,577.846,21,789,0,0,0,0,0,23,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,997,347,0,3.5
20150301,IA,2,March,13901.73,13383.395,344,3057,0,0,0,0,89,1237,10759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170,31,147,3922,953,0,538
20150301,ID,2,March,3686.217,3537.399,103,1261,0,0,0,0,10,287,4238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,3,71,1705,465,0,279
20150301,IL,2,March,30010.24,29080.992,1464,17976,0,0,0,0,55,4635,42007,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4367,77,569,15546,4110,0,2020
20150301,IN,2,March,33836.295,32727.242,1408,8373,0,0,0,0,123,3649,28702,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3079,52,467,10825,2392,0,2361.5
20150301,KS,2,March,12503.962,12171.243,574,3976,0,0,0,0,35,2045,11099,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2124,36,360,4236,942,0,769
20150301,KY,2,March,16907.93,16455.574,527,4507,0,0,0,0,63,1414,15520,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2430,26,309,5778,1134,0,951.5
20150301,LA,2,March,36588.216,36593.114,1380,6115,0,0,0,0,1318,3658,22995,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5043,62,625,8506,1029,0,2871
20150301,MA,2,March,15223.775,14015.918,377,8805,0,0,0,0,3,707,25785,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1087,17,201,9826,3023,0,693
20150301,MD,2,March,23819.004,22232.348,700,5426,0,0,0,0,72,1455,26437,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1576,38,251,8389,2196,0,1538
20150301,ME,2,March,7449.768,6609.22,130,1422,0,0,0,0,16,341,5720,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,244,8,41,2379,441,0,363
20150301,MI,2,March,23684.629,21718.019,854,11512,0,0,0,0,45,2057,33870,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1832,43,243,13577,2981,0,1704.5
20150301,MN,2,March,12650.147,11681.168,411,6215,0,0,0,0,24,899,17080,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,703,21,145,6368,2103,0,616
20150301,MO,2,March,19335.552,19063.618,905,6998,0,0,0,0,89,2690,19959,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2517,65,340,7286,1552,0,1411
20150301,MS,2,March,14539.392,14978.617,533,3148,0,0,0,0,225,1356,11393,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1288,35,199,4339,542,0,1108
20150301,MT,2,March,2314.723,2165.727,60,767,0,0,0,0,14,147,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,17,1094,244,0,143
20150301,NC,2,March,44590.752,40185.233,1861,14996,0,0,0,0,697,4917,40540,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4289,95,691,15734,3439,0,2631
